product name, amount in pack, unit, cal, price
ingredient0, 8, pcs, 4.5, 9.19
ingredient1, 4, pcs, 81.4, 14.19
ingredient2, 1, pcs, 104.4, 9.39
ingredient3, 9, pcs, 99.1, 19.39
ingredient4, 9, pcs, 20.7, 8.89
ingredient5, 6, pcs, 134.1, 9.89
ingredient6, 2, pcs, 133.8, 8.09
ingredient7, 4, pcs, 99.2, 7.29
ingredient8, 11, pcs, 28.9, 8.39
ingredient9, 1, pcs, 155.2, 8.89
ingredient10, 100, ml, 636.7, 11.69
ingredient11, 5, pcs, 57.0, 13.59
ingredient12, 300, g, 589.7, 13.99
ingredient13, 5, pcs, 141.4, 2.29
ingredient14, 900, ml, 138.8, 4.19
ingredient15, 2, pcs, 26.7, 8.49
ingredient16, 550, g, 394.0, 16.49
ingredient17, 9, pcs, 94.7, 18.09
ingredient18, 350, g, 136.7, 18.29
ingredient19, 1, pcs, 46.4, 17.19
ingredient20, 300, g, 799.6, 15.89
ingredient21, 200, ml, 13.1, 5.59
ingredient22, 1000, ml, 101.0, 19.49
ingredient23, 7, pcs, 53.9, 5.09
ingredient24, 250, g, 733.8, 2.69
ingredient25, 1, pcs, 112.9, 18.29
ingredient26, 800, ml, 668.5, 11.79
ingredient27, 500, ml, 224.6, 9.39
ingredient28, 550, g, 303.7, 6.69
ingredient29, 8, pcs, 43.0, 1.79
ingredient30, 900, ml, 146.9, 14.19
ingredient31, 11, pcs, 159.6, 15.89
ingredient32, 500, ml, 335.9, 11.59
ingredient33, 150, g, 219.9, 12.39
ingredient34, 200, g, 740.1, 18.49
ingredient35, 11, pcs, 25.2, 11.19
ingredient36, 550, g, 787.1, 6.29
ingredient37, 9, pcs, 144.2, 4.69
ingredient38, 100, ml, 452.6, 12.69
ingredient39, 500, ml, 641.7, 13.99
ingredient40, 450, g, 229.9, 7.79
ingredient41, 1, pcs, 118.5, 18.49
ingredient42, 900, ml, 266.5, 11.39
ingredient43, 6, pcs, 114.1, 19.69
ingredient44, 50, g, 99.8, 7.09
ingredient45, 100, ml, 585.6, 18.99
ingredient46, 300, ml, 263.5, 18.19
ingredient47, 4, pcs, 100.9, 9.19
ingredient48, 100, ml, 502.5, 7.69
ingredient49, 6, pcs, 41.4, 10.39
ingredient50, 200, g, 239.6, 17.99
ingredient51, 100, ml, 551.0, 19.29
ingredient52, 1100, ml, 296.9, 12.89
ingredient53, 3, pcs, 48.7, 7.59
ingredient54, 400, ml, 497.3, 5.19
ingredient55, 150, g, 729.6, 14.59
ingredient56, 500, g, 231.5, 10.09
ingredient57, 550, g, 200.1, 11.09
ingredient58, 250, g, 523.7, 0.69
ingredient59, 2, pcs, 101.3, 2.69
ingredient60, 400, ml, 470.4, 16.39
ingredient61, 11, pcs, 136.7, 5.79
ingredient62, 400, ml, 699.7, 10.69
ingredient63, 100, ml, 292.0, 4.29
ingredient64, 1000, ml, 192.1, 2.19
ingredient65, 200, g, 574.8, 15.09
ingredient66, 550, g, 610.7, 9.09
ingredient67, 5, pcs, 32.0, 10.19
ingredient68, 100, g, 704.0, 3.39
ingredient69, 600, ml, 211.2, 4.89
ingredient70, 600, ml, 206.5, 14.59
ingredient71, 2, pcs, 145.7, 18.09
ingredient72, 300, g, 750.4, 19.59
ingredient73, 4, pcs, 46.8, 2.19
ingredient74, 500, g, 586.3, 1.69
ingredient75, 300, ml, 385.9, 11.09
ingredient76, 450, g, 750.0, 10.29
ingredient77, 800, ml, 138.8, 4.79
ingredient78, 100, g, 344.6, 17.69
ingredient79, 9, pcs, 88.4, 4.09
ingredient80, 400, g, 381.8, 10.69
ingredient81, 800, ml, 594.8, 2.99
ingredient82, 1000, ml, 767.5, 1.79
ingredient83, 1, pcs, 36.6, 2.99
ingredient84, 50, g, 517.6, 5.19
ingredient85, 250, g, 231.8, 1.79
ingredient86, 200, g, 342.8, 8.59
ingredient87, 200, g, 408.3, 19.79
ingredient88, 100, ml, 119.3, 12.99
ingredient89, 8, pcs, 57.4, 6.59
ingredient90, 100, g, 622.8, 17.69
ingredient91, 600, ml, 620.9, 12.49
ingredient92, 100, ml, 94.7, 13.39
ingredient93, 100, ml, 234.4, 6.29
ingredient94, 1000, ml, 422.9, 12.49
ingredient95, 200, g, 46.2, 0.99
ingredient96, 250, g, 307.0, 12.69
ingredient97, 10, pcs, 145.1, 19.69
ingredient98, 300, g, 34.5, 11.69
ingredient99, 300, g, 206.8, 5.99
ingredient100, 800, ml, 20.8, 1.89
ingredient101, 3, pcs, 39.9, 19.19
ingredient102, 150, g, 748.5, 4.89
ingredient103, 7, pcs, 91.1, 2.69
ingredient104, 300, ml, 357.8, 11.59
ingredient105, 500, g, 339.9, 15.29
ingredient106, 550, g, 525.2, 13.89
ingredient107, 1, pcs, 2.0, 8.69
ingredient108, 200, g, 337.3, 5.49
ingredient109, 7, pcs, 22.2, 15.29
ingredient110, 400, g, 262.3, 2.39
ingredient111, 400, ml, 333.1, 6.79
ingredient112, 450, g, 60.1, 4.99
ingredient113, 10, pcs, 84.0, 2.19
ingredient114, 450, g, 530.8, 7.99
ingredient115, 350, g, 691.6, 6.89
ingredient116, 600, ml, 66.6, 13.89
ingredient117, 550, g, 775.8, 4.79
ingredient118, 1100, ml, 506.2, 0.79
ingredient119, 450, g, 236.6, 3.59
ingredient120, 800, ml, 688.6, 4.69
ingredient121, 5, pcs, 72.6, 3.99
ingredient122, 400, ml, 16.0, 9.09
ingredient123, 350, g, 641.3, 19.89
ingredient124, 700, ml, 463.9, 2.69
ingredient125, 550, g, 113.9, 9.49
ingredient126, 300, g, 781.6, 3.69
ingredient127, 7, pcs, 2.5, 4.19
ingredient128, 100, g, 516.2, 5.79
ingredient129, 800, ml, 601.7, 17.29
ingredient130, 450, g, 634.7, 18.99
ingredient131, 4, pcs, 19.0, 16.89
ingredient132, 800, ml, 556.1, 1.69
